@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

carintstring,2,10,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1556,172,161,11,0,93.604651,6.395349,0,0.857412,0.255329,0.31948,111.905131,94.886449,205.600818,178.434588,27.16623,1.195354,1.03741,0.157943,-2.335777,-0.01358,-192.797392,0.975207,118,0.078431,4,0.921569,47,0.024793,3,0.967213,0.975207,0.971193,0.95568,0.936047,0.065315,0.934685,0.063953,0.934806,0.936047,0.934608,0.950596,0.133,0,0.132016,0.000316,15556,134892,17252,?
carintstring,3,1,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,163,10,0,94.219653,5.780347,0,0.872962,0.25578,0.320063,111.697916,94.672671,207.771695,180.434588,27.337108,1.200992,1.042974,0.158018,-1.464842,-0.008467,-120.970882,0.966942,117,0.076923,4,0.923077,48,0.033058,4,0.966942,0.966942,0.966942,0.948903,0.942197,0.063896,0.936104,0.057803,0.943888,0.942197,0.941956,0.94651,0.152,0,0.140114,0.000336,15556,134807,17337,?
carintstring,3,2,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,167,6,0,96.531792,3.468208,0,0.925211,0.253372,0.316279,110.646147,93.553128,207.771695,177.509775,30.26192,1.200992,1.026068,0.174924,1.120121,0.006475,92.502847,0.983471,119,0,0,1,52,0.016529,2,1,0.983471,0.991667,0.992848,0.965318,0.005742,0.994258,0.034682,0.966577,0.965318,0.965675,0.986581,0.139,0,0.135699,0.000262,15556,134807,17337,?
carintstring,3,3,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,149,24,0,86.127168,13.872832,0,0.711466,0.263487,0.332006,115.063578,98.205218,207.771695,191.0391,16.732595,1.200992,1.104272,0.09672,-8.675738,-0.050149,-716.467734,0.900826,109,0.096154,5,0.903846,47,0.099174,12,0.95614,0.900826,0.92766,0.917594,0.861272,0.087491,0.912509,0.138728,0.876755,0.861272,0.864732,0.912161,0.127,0,0.125924,0.000264,15556,134807,17337,?
carintstring,3,4,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,162,11,0,93.641618,6.358382,0,0.85888,0.255299,0.31931,111.483952,94.44642,207.875497,179.434588,28.440909,1.201592,1.037194,0.164398,-1.209037,-0.006989,-99.850743,0.975207,118,0.096154,5,0.903846,47,0.024793,3,0.95935,0.975207,0.967213,0.954863,0.936416,0.075871,0.924129,0.063584,0.934969,0.936416,0.935405,0.9489,0.143,0,0.141693,0.000315,15556,134807,17337,?
carintstring,3,5,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,159,14,0,91.907514,8.092486,0,0.831314,0.258189,0.323184,112.517404,95.373992,210.310948,183.774438,26.53651,1.21567,1.06228,0.15339,-1.098662,-0.006351,-90.853002,0.92562,112,0.038462,2,0.961538,50,0.07438,9,0.982456,0.92562,0.953191,0.961777,0.919075,0.043659,0.956341,0.080925,0.92697,0.919075,0.921281,0.950809,0.135,0,0.131308,0.000287,15556,134807,17337,?
carintstring,3,6,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,165,8,0,95.375723,4.624277,0,0.901256,0.254335,0.317419,110.838039,93.672729,210.310948,178.264663,32.046285,1.21567,1.030432,0.185239,2.736189,0.015816,226.267141,0.958678,116,0.019231,1,0.980769,51,0.041322,5,0.991453,0.958678,0.97479,0.979657,0.953757,0.02484,0.97516,0.046243,0.959077,0.953757,0.954194,0.974868,0.129,0,0.127504,0.000272,15556,134807,17337,?
carintstring,3,7,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,167,6,0,96.531792,3.468208,0,0.924657,0.253372,0.316532,110.418198,93.411125,210.310948,177.509775,32.801173,1.21567,1.026068,0.189602,3.659374,0.021152,302.609191,0.983471,119,0.038462,2,0.961538,50,0.016529,2,0.983471,0.983471,0.983471,0.973617,0.965318,0.030642,0.969358,0.034682,0.965728,0.965318,0.965318,0.972609,0.148,0,0.147237,0.000272,15556,134807,17337,?
carintstring,3,8,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1555,173,162,11,0,93.641618,6.358382,0,0.865122,0.255299,0.31931,111.25788,94.230864,210.310948,179.434588,30.87636,1.21567,1.037194,0.178476,1.906114,0.011018,157.624704,0.942149,114,0.057692,3,0.942308,49,0.057851,7,0.974359,0.942149,0.957983,0.955022,0.936416,0.051984,0.948016,0.063584,0.939507,0.936416,0.93733,0.953476,0.151,0,0.14656,0.000316,15556,134807,17337,?
carintstring,3,9,weka.classifiers.meta.FilteredClassifier,'-F \"weka.filters.unsupervised.instance.RemovePercentage -P 0.0\" -W weka.classifiers.functions.SMO -- -C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"',-4523450618538717400,20150919.0438,1556,172,163,9,0,94.767442,5.232558,0,0.886268,0.25436,0.31834,111.480444,94.548038,205.600818,177.264663,28.336155,1.195354,1.030609,0.164745,-0.995927,-0.00579,-82.204837,0.966942,117,0.039216,2,0.960784,49,0.033058,4,0.983193,0.966942,0.975,0.973586,0.947674,0.036325,0.963675,0.052326,0.949678,0.947674,0.94845,0.966199,0.16,0,0.155303,0.000271,15556,134892,17252,?
